,Word,Revist_date,Planned_date,Previous_date,Current_Interval,Last_Interval,Current_easiness,Last_easiness,Repetitions,EF_score,Tag
0,aufrappeln,2022-12-24 10:04:37.531700,2022-12-22 19:48:03.943537,2022-12-22 19:48:03.943537,1.0,1.0,4,,0.0,2.5,
1,machen,2022-12-24 10:04:37.531700,2022-12-22 20:10:45.557315,2022-12-22 20:10:45.557315,1.0,1.0,5,,0.0,2.5,
2,aufrappeln,2022-12-24 10:53:11.878476,2022-12-25 10:04:37.531700,2022-12-24 10:04:37.531700,1.0,1.0,2,4.0,1.0,2.5,
3,machen,2022-12-24 10:53:11.878476,2022-12-25 10:04:37.531700,2022-12-24 10:04:37.531700,6.0,1.0,5,5.0,1.0,2.6,
4,aufrappeln,2022-12-25 15:48:57.601867,2022-12-25 10:53:11.878476,2022-12-24 10:53:11.878476,1.0,1.0,4,2.0,0.0,2.18,
5,aufrappeln,2022-12-25 15:49:09.425673,2022-12-26 15:48:57.601867,2022-12-25 15:48:57.601867,1.0,1.0,4,4.0,1.0,2.18,
6,aufrappeln,2022-12-25 15:49:12.961355,2022-12-26 15:49:09.425673,2022-12-25 15:49:09.425673,1.0,1.0,4,4.0,1.0,2.18,
7,tisch,2022-12-25 15:59:50.739627,2022-12-24 11:14:43.500070,2022-12-24 11:14:43.500070,1.0,1.0,4,,0.0,2.5,
8,machen,2022-12-25 16:09:31.703886,2022-12-30 10:53:11.878476,2022-12-24 10:53:11.878476,2.7,6.0,4,5.0,2.0,2.7,
9,saugen,2022-12-25 16:13:20.268439,2022-12-25 16:12:37.228455,2022-12-25 16:12:37.228455,1.0,1.0,4,,0.0,2.5,
10,blasen,2022-12-25 16:17:02.115344,2022-12-25 16:16:20.378749,2022-12-25 16:16:20.378749,1.0,1.0,4,,0.0,2.5,
11,begehren,2022-12-25 16:39:02.163158,2022-12-25 16:38:42.072945,2022-12-25 16:38:42.072945,1.0,1.0,4,,0.0,2.5,
12,quatsch,2022-12-25 16:46:54.040671,2022-12-25 16:46:35.974940,2022-12-25 16:46:35.974940,1.0,1.0,4,,0.0,2.5,
13,quatsch 3,2022-12-25 17:45:31.518762,2022-12-25 16:46:47.297313,2022-12-25 16:46:47.297313,1.0,6.0,4,,0.0,2.5,
14,überlegen,2022-12-25 17:58:42.556938,2022-12-25 17:58:29.883028,2022-12-25 17:58:29.883028,1.0,1.0,4,,0.0,2.5,
15,sehen,2022-12-25 18:06:36.960626,2022-12-25 18:00:10.137349,2022-12-25 18:00:10.137349,1.0,1.0,4,,0.0,2.5,
16,lügen,2022-12-25 18:09:04.416086,2022-12-25 18:00:22.786213,2022-12-25 18:00:22.786213,1.0,1.0,4,,0.0,2.5,
17,ficken,2022-12-25 18:18:52.262175,2022-12-25 18:18:42.005578,2022-12-25 18:18:42.005578,1.0,1.0,4,,0.0,2.5,
